division,category,Gene Symbol,Gene Name,geneid,Ensembl IDs,UniProt IDs,Human Orthologue,Mouse Orthologue,Dr Matrisome,combined_orthology
Core matrisome,Collagens,col28a2a,"collagen, type XXVIII, alpha 2a",ZDB-GENE-030131-4444,ENSDARG00000076321,F1QAB3:E9QEJ2:C3KEZ4:E9QEM2, -, -,Yes, -
Core matrisome,Collagens,col28a2b,"collagen, type XXVIII, alpha 2b",ZDB-GENE-130530-762, -,C0H5V6:C0H5V8:C0H5V9:C0H5V7,COL28A1,Col28a1,Yes,COL28A1
Core matrisome,Collagens,col2a1a,"collagen, type II, alpha 1a",ZDB-GENE-980526-192,ENSDARG00000069093,B3DKQ3:A0A0R4IMA3:A0A0R4IHB0:B3DLK0:Q2LDA1:Q90412:Q561Q0,COL2A1,Col2a1,Yes,COL2A1
Core matrisome,Collagens,col2a1b,"collagen, type II, alpha 1b",ZDB-GENE-050302-9,ENSDARG00000011407,L0S5L0:F1QP85:A0A0H2UKU2,COL2A1,Col2a1,Yes,COL2A1
Core matrisome,Collagens,col4a1,"collagen, type IV, alpha 1",ZDB-GENE-081105-114,ENSDARG00000055009,F1Q8S5:F1QG79:Q4TZW8,COL4A1,Col4a1,Yes,COL4A1
Core matrisome,Collagens,col4a2,"collagen, type IV, alpha 2",ZDB-GENE-070725-3,ENSDARG00000104110,F1QZI8:Q58FS6:A0A0H2UKP2,COL4A2,Col4a2,Yes,COL4A2
Core matrisome,Collagens,col4a3,"collagen, type IV, alpha 3",ZDB-GENE-070802-4,ENSDARG00000003395,X1WCV8:Q58FS7:F1R5V4,COL4A3,Col4a3,Yes,COL4A3
Core matrisome,Collagens,col4a4,"collagen, type IV, alpha 4",ZDB-GENE-101001-1,ENSDARG00000002831,F1QW09:Q4TZW9:A0A0R4IDM5:X1WFR7,COL4A4,Col4a4,Yes,COL4A4
Core matrisome,Collagens,col4a5,"collagen, type IV, alpha 5 (Alport syndrome)",ZDB-GENE-030131-2281,ENSDARG00000052063,F1R6V4:B0UXF7:Q4TZX0,COL4A5,Col4a5,Yes,COL4A5
Core matrisome,Collagens,col4a6,"collagen, type IV, alpha 6",ZDB-GENE-101001-2,ENSDARG00000052061,F1QYN1:Q4TZW7,COL4A6,Col4a6,Yes,COL4A6
Core matrisome,Collagens,col5a1,"procollagen, type V, alpha 1",ZDB-GENE-041105-6,ENSDARG00000012593,D6MUD5:F6NPA4:A0A0R4IRG2,COL5A1,Col5a1,Yes,COL5A1
Core matrisome,Collagens,col5a2a,"collagen, type V, alpha 2a",ZDB-GENE-030616-13,ENSDARG00000031678,F1QT86,COL5A2,Col5a2,Yes,COL5A2
Core matrisome,Collagens,col5a2b,"collagen, type V, alpha 2b",ZDB-GENE-110406-2,ENSDARG00000024847,A0A0R4IRR2:E7FE47,COL5A2,Col5a2,Yes,COL5A2
Core matrisome,Collagens,col5a3a,"collagen, type V, alpha 3a",ZDB-GENE-030131-968,ENSDARG00000098294,A0A0R4IW47:D6MUD6,COL5A3,Col5a3,Yes,COL5A3
Core matrisome,Collagens,col5a3b,"collagen, type V, alpha 3b",ZDB-GENE-110728-4,ENSDARG00000101816,A0A0R4IVL6:A0A0R4IN07:D6MUD7,COL5A3,Col5a3,Yes,COL5A3
Core matrisome,Collagens,col6a1,"collagen, type VI, alpha 1",ZDB-GENE-070501-6,ENSDARG00000074908,A0A0R4IDY3:F1Q6P3,COL6A1,Col6a1,Yes,COL6A1
Core matrisome,Collagens,col6a2,"collagen, type VI, alpha 2",ZDB-GENE-070501-7,ENSDARG00000061436,A3KNX1:E7FCV8,COL6A2,Col6a2,Yes,COL6A2
Core matrisome,Collagens,col6a3,"collagen, type VI, alpha 3",ZDB-GENE-070501-8,ENSDARG00000095915,F1Q4X1:F1QMR9:F6NRG0:F1QKE8:F1QV92,COL6A3,Col6a3,Yes,COL6A3
Core matrisome,Collagens,col6a6,"collagen, type VI, alpha 6",ZDB-GENE-041111-303,ENSDARG00000079752,F1Q924:X1WEZ4,COL6A6,Col6a6,Yes,COL6A6
Core matrisome,Collagens,col6a6b,"collagen, type VI, alpha 6b",ZDB-GENE-160215-2, -, -,COL6A6,Col6a6,Yes,COL6A6
Core matrisome,Collagens,col7a1,"collagen, type VII, alpha 1",ZDB-GENE-030131-2427,ENSDARG00000021720,E7FA40:X1WHK5:X1WE19,COL7A1,Col7a1,Yes,COL7A1
Core matrisome,Collagens,col7a1l,collagen type VII alpha 1-like,ZDB-GENE-030131-9861,ENSDARG00000069692,A0A0R4ITJ5:F1QKQ2:F1Q960:A6N5Z0,COL7A1,Col7a1,Yes,COL7A1
Core matrisome,Collagens,col8a1a,"collagen, type VIII, alpha 1a",ZDB-GENE-070912-274,ENSDARG00000077403,B7SW26:B0S5W0,COL8A1,Col8a1,Yes,COL8A1
Core matrisome,Collagens,col8a1b,"collagen, type VIII, alpha 1b",ZDB-GENE-060503-140,ENSDARG00000003533,X1WGI4:Q1L863,COL8A1,Col8a1,Yes,COL8A1
Core matrisome,Collagens,col8a2,"collagen, type VIII, alpha 2",ZDB-GENE-060503-488,ENSDARG00000060893,Q1LUA9,COL8A2,Col8a2,Yes,COL8A2
Core matrisome,Collagens,col9a1a,"collagen, type IX, alpha 1a",ZDB-GENE-080721-25,ENSDARG00000073699,B3DJC9:F1QTQ2,COL9A1,Col9a1,Yes,COL9A1
Core matrisome,Collagens,col9a1b,"collagen, type IX, alpha 1b",ZDB-GENE-040426-2410,ENSDARG00000031483,A0A0R4II70:E9QHV3:B8A4T6:Q6NUV1,COL9A1,Col9a1,Yes,COL9A1
Core matrisome,Collagens,col9a2,"procollagen, type IX, alpha 2",ZDB-GENE-030131-9786,ENSDARG00000024492,Q8JGL8:Q1LXU2:Q66L59:F1Q7T7,COL9A2,Col9a2,Yes,COL9A2
Core matrisome,Collagens,col9a3,"collagen, type IX, alpha 3",ZDB-GENE-030131-9799,ENSDARG00000037845,A9JTG2:F1R1F1,COL9A3,Col9a3,Yes,COL9A3
Core matrisome,Proteoglycans,acana,aggrecan a,ZDB-GENE-050208-221,ENSDARG00000035891,M9MMB0:F1QW90:Q75ZI2:F1Q788:Q58EI4:F1QDA1:A0A0R4IP31:E7F537,ACAN,Acan,Yes,ACAN
Core matrisome,Proteoglycans,acanb,aggrecan b,ZDB-GENE-100422-16,ENSDARG00000045799,F1R511:F8W252,ACAN,Acan,Yes,ACAN
Core matrisome,Proteoglycans,aspn,asporin (LRR class 1),ZDB-GENE-041105-7,ENSDARG00000002192,Q1LXA7:Q1LXA6:Q504E0:A8BBD1:Q9DE02:Q6DBT8,ASPN,Aspn,Yes,ASPN
Core matrisome,Proteoglycans,bcan,brevican,ZDB-GENE-030131-6045,ENSDARG00000099412,A4JYN2:Q75T40:A0A0R4IXT8,BCAN,Bcan,Yes,BCAN
Core matrisome,Proteoglycans,bgna,biglycan a,ZDB-GENE-040704-74,ENSDARG00000017884,B0CM13:Q6GMI5:A8BBH0,BGN,Bgn,Yes,BGN
Core matrisome,Proteoglycans,bgnb,biglycan b,ZDB-GENE-040426-21,ENSDARG00000002945,Q6PBP5:B7ZDB5:F1RCG4:Q6NYY6:A8BBG1,BGN,Bgn,Yes,BGN
Core matrisome,Proteoglycans,chad,chondroadherin,ZDB-GENE-040426-1130,ENSDARG00000045071,F1Q7R2:Q7SYE5,CHAD,Chad,Yes,CHAD
Core matrisome,Proteoglycans,chadla,chondroadherin-like a,ZDB-GENE-121205-4,ENSDARG00000055160,E7EXH9,CHADL,Chadl,Yes,CHADL
Core matrisome,Proteoglycans,chadlb,chondroadherin-like b,ZDB-GENE-121205-5,ENSDARG00000075903,F1Q881:B0CLZ4,CHADL,Chadl,Yes,CHADL
Core matrisome,Proteoglycans,dcn,decorin,ZDB-GENE-010102-1,ENSDARG00000012066,Q9DE01:Q5RI45:Q803T1,DCN,Dcn,Yes,DCN
Core matrisome,Proteoglycans,epyc,epiphycan,ZDB-GENE-041008-9,ENSDARG00000056950,A4FVI9:A8BBB9:Q15JE8:B0S5X0:Q5RI46:Q568A7,EPYC,Epyc,Yes,EPYC
Core matrisome,Proteoglycans,esm1,endothelial cell-specific molecule 1,ZDB-GENE-060929-748,ENSDARG00000104370,Q08CJ3:A0A0R4IF38,ESM1,Esm1,Yes,ESM1
Core matrisome,Proteoglycans,fmoda,fibromodulin a,ZDB-GENE-041008-23,ENSDARG00000044895,F1QG51:Q4V9E0:A8BB94,FMOD,Fmod,Yes,FMOD
Core matrisome,Proteoglycans,fmodb,fibromodulin b,ZDB-GENE-080327-28,ENSDARG00000010294,A8BBH7:B0UYH4,FMOD,Fmod,Yes,FMOD
Core matrisome,Proteoglycans,hapln1a,hyaluronan and proteoglycan link protein 1a,ZDB-GENE-050302-175,ENSDARG00000089769,B3DIH3:A5PKS6:Q1LXE2:Q1LXE1:A0A0B5JFG6:Q60H44,HAPLN1,Hapln1,Yes,HAPLN1
Core matrisome,Proteoglycans,hapln1b,hyaluronan and proteoglycan link protein 1b,ZDB-GENE-050920-1,ENSDARG00000068516,E9QFH9:E7FBW8,HAPLN1,Hapln1,Yes,HAPLN1
Core matrisome,Proteoglycans,hapln2,hyaluronan and proteoglycan link protein 2,ZDB-GENE-030131-8089,ENSDARG00000003903,A4JYH5:A2CF10:A4JYQ1,HAPLN2,Hapln2,Yes,HAPLN2
Core matrisome,Proteoglycans,hapln3,hyaluronan and proteoglycan link protein 3,ZDB-GENE-040426-2089,ENSDARG00000045802,Q6NV41:F1QVB2,HAPLN3,Hapln3,Yes,HAPLN3
Core matrisome,Proteoglycans,hapln4,hyaluronan and proteoglycan link protein 4,ZDB-GENE-060503-243,ENSDARG00000018542,Q1LV25,HAPLN4,Hapln4,Yes,HAPLN4
Core matrisome,Proteoglycans,hspg2,heparan sulfate proteoglycan 2,ZDB-GENE-080807-4,ENSDARG00000076564,B0LVF1:F1RCP6:A0A0R4IMY4:F1R5K7:A0A0R4IVZ2:B2RZI0:A0A0R4IZA6,HSPG2,Hspg2,Yes,HSPG2
Core matrisome,Proteoglycans,impg1a,interphotoreceptor matrix proteoglycan 1a,ZDB-GENE-070424-197,ENSDARG00000077187,F1QV42:F1QU29:F1QEV5,IMPG1,Impg1,Yes,IMPG1
Core matrisome,Proteoglycans,impg1b,interphotoreceptor matrix proteoglycan 1b,ZDB-GENE-101007-1,ENSDARG00000074839,F1QCJ0:X1WDV1,IMPG1,Impg1,Yes,IMPG1
Core matrisome,Proteoglycans,impg2a,interphotoreceptor matrix proteoglycan 2a,ZDB-GENE-140106-217,ENSDARG00000088751,F1R6Y4:F1R6Y4,IMPG2,Impg2,Yes,IMPG2
Core matrisome,Proteoglycans,impg2b,interphotoreceptor matrix proteoglycan 2b,ZDB-GENE-081031-56,ENSDARG00000100288,A0A0R4IT75:A0A0R4IE69:A0A0R4IXW4:A0A0J9YJ75:A0A0R4IQJ1:A0A0R4IUG0,IMPG2,Impg2,Yes,IMPG2
Core matrisome,Proteoglycans,kera,keratocan,ZDB-GENE-041210-165,ENSDARG00000056938,Q5RI43:Q5RI47:Q0PZF1,KERA,Kera,Yes,KERA
Core matrisome,Proteoglycans,lum,lumican,ZDB-GENE-040625-24,ENSDARG00000045580,A8BBA0:F1R6G3:Q6IQQ7,LUM,Lum,Yes,LUM
Core matrisome,Proteoglycans,ncana,neurocan a,ZDB-GENE-051230-1,ENSDARG00000100128,Q75T39,NCAN,Ncan,Yes,NCAN
Core matrisome,Proteoglycans,ncanb,neurocan b,ZDB-GENE-050208-586,ENSDARG00000005783,F1QEZ8:Q1LVM6:F1R9V2,NCAN,Ncan,Yes,NCAN
Core matrisome,Proteoglycans,nyx,nyctalopin,ZDB-GENE-061026-3,ENSDARG00000061791,Q00P20,NYX,Nyx,Yes,NYX
Core matrisome,Proteoglycans,ogn,osteoglycin,ZDB-GENE-050208-650,ENSDARG00000044132,Q5BLC1:Q1LV51,OGN,Ogn,Yes,OGN
Core matrisome,Proteoglycans,omd,osteomodulin,ZDB-GENE-060503-756,ENSDARG00000093600,A0A0R4IFY2:F6NL91,OMD,Omd,Yes,OMD
Core matrisome,Proteoglycans,optc,opticin,ZDB-GENE-030131-1798,ENSDARG00000014358,Q6DC21:A8BBE6:Q15JE7,OPTC,Optc,Yes,OPTC
Core matrisome,Proteoglycans,podn,podocan,ZDB-GENE-100922-117,ENSDARG00000019025,F1R4I0:E7FDK4,PODN,Podn,Yes,PODN
Core matrisome,Proteoglycans,prelp,proline/arginine-rich end leucine-rich repeat protein,ZDB-GENE-080327-24,ENSDARG00000070597,F1QY29:A8BBF7,PRELP,Prelp,Yes,PRELP
Core matrisome,Proteoglycans,prg4a,proteoglycan 4a,ZDB-GENE-030131-8295,ENSDARG00000010482,F1R2Z8:Q7ZW66:B8JMI4:B8JMI5,PRG4,Prg4,Yes,PRG4
Core matrisome,Proteoglycans,prg4b,proteoglycan 4b,ZDB-GENE-041014-324,ENSDARG00000028163,Q567C4:F1R0N7:A5PMB6:F1REF9:Q32PL6,PRG4,Prg4,Yes,PRG4
Core matrisome,Proteoglycans,spock1,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1",ZDB-GENE-110428-1,ENSDARG00000074644,E7F9M2:A0A0G2L032:A0A0G2KM32,SPOCK1,Spock1,Yes,SPOCK1
Core matrisome,Proteoglycans,spock2,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2",ZDB-GENE-090312-170,ENSDARG00000075393,B7ZD41:B7ZD49:F1RE70,SPOCK2,Spock2,Yes,SPOCK2
Core matrisome,Proteoglycans,spock3,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3",ZDB-GENE-090311-24,ENSDARG00000070266,F1RAX3:Q4V9J2:E9QHS0:A0A0R4IMY5:A8KB02:E9QJD8:A4IGA0,SPOCK3,Spock3,Yes,SPOCK3
Core matrisome,Proteoglycans,srgn,serglycin,ZDB-GENE-030131-7127,ENSDARG00000077069,B8A5H9:B8A5I0,SRGN,Srgn,Yes,SRGN
Core matrisome,Proteoglycans,vcana,versican a,ZDB-GENE-011023-1,ENSDARG00000103515,A0A0R4ICM0:Q1LXE5,VCAN,Vcan,Yes,VCAN
Core matrisome,Proteoglycans,vcanb,versican b,ZDB-GENE-030131-2185,ENSDARG00000009401,Q75ZI3:F1QFM9,VCAN,Vcan,Yes,VCAN
Matrisome-associated,ECM-affiliated Proteins,anxa11a,annexin A11a,ZDB-GENE-030707-4,ENSDARG00000077383,B8A4V2:Q804G4:Q7T391,ANXA11,Anxa11,Yes,ANXA11
Matrisome-associated,ECM-affiliated Proteins,anxa11b,annexin A11b,ZDB-GENE-030707-5,ENSDARG00000002632,Q804G3:F8W2N0,ANXA11,Anxa11,Yes,ANXA11
Matrisome-associated,ECM-affiliated Proteins,anxa13,annexin A13,ZDB-GENE-010406-1,ENSDARG00000013976,F1REH8:Q804G2:Q6PHG3:Q98SH7,ANXA13,Anxa13,Yes,ANXA13
Matrisome-associated,ECM-affiliated Proteins,anxa13l,"annexin A13, like",ZDB-GENE-050522-310,ENSDARG00000013613,A8E7L2:A8E7L1:A8E7K9:A8E7K8:Q4VBH6:A8E7L0:A8E7L3,ANXA13,Anxa13,Yes,ANXA13
Matrisome-associated,ECM-affiliated Proteins,anxa1a,annexin A1a,ZDB-GENE-030131-6664,ENSDARG00000026726,Q7T3A8:A2BFV8:Q804H2:A0A0R4IWC6,ANXA1,Anxa1,Yes,ANXA1
Matrisome-associated,ECM-affiliated Proteins,anxa1b,annexin A1b,ZDB-GENE-030131-6554,ENSDARG00000100095,Q804H1:B8JLZ3,ANXA1,Anxa1,Yes,ANXA1
Matrisome-associated,ECM-affiliated Proteins,anxa1c,annexin A1c,ZDB-GENE-030131-5274,ENSDARG00000104359,Q804H0:Q32PQ2:A0A0R4ICD6,ANXA1,Anxa1,Yes,ANXA1
Matrisome-associated,ECM-affiliated Proteins,anxa2a,annexin A2a,ZDB-GENE-030131-4282,ENSDARG00000003216,Q6P603:Q804G9,ANXA2,Anxa2,Yes,ANXA2
Matrisome-associated,ECM-affiliated Proteins,anxa2b,annexin A2b,ZDB-GENE-030131-1089,ENSDARG00000053625,Q6DHD8:Q2TBJ2:Q804G8:A8E5G1,ANXA2,Anxa2,Yes,ANXA2
Matrisome-associated,ECM-affiliated Proteins,anxa3a,annexin A3a,ZDB-GENE-040912-58,ENSDARG00000009196,A0A0R4ISB3:A2BHN0:Q4V9B8:Q66ID8,ANXA3,Anxa3,Yes,ANXA3
Matrisome-associated,ECM-affiliated Proteins,anxa3b,annexin A3b,ZDB-GENE-041114-128,ENSDARG00000044254,Q5U369:B0JZI3:A8E5E5,ANXA3,Anxa3,Yes,ANXA3
Matrisome-associated,ECM-affiliated Proteins,anxa4,annexin A4,ZDB-GENE-030707-1,ENSDARG00000036456,Q804G7,ANXA4,Anxa4,Yes,ANXA4
Matrisome-associated,ECM-affiliated Proteins,anxa5a,annexin A5a,ZDB-GENE-080220-29,ENSDARG00000026406,F1QKN3:A8WG37,ANXA5,Anxa5,Yes,ANXA5
Matrisome-associated,ECM-affiliated Proteins,anxa5b,annexin A5b,ZDB-GENE-030131-9076,ENSDARG00000016470,Q6P0V8:A0A0R4IKN3:Q804G6:Q803A1:A9JTC0,ANXA5,Anxa5,Yes,ANXA5
Matrisome-associated,ECM-affiliated Proteins,anxa6,annexin A6,ZDB-GENE-030707-3,ENSDARG00000013335,F6IA10:F8W331:F1QSK0:F1QZ98:Q6DG13:F1R6N3:Q804G5:A8KBY8,ANXA6,Anxa6,Yes,ANXA6
Matrisome-associated,ECM-affiliated Proteins,c1qa,"complement component 1, q subcomponent, A chain",ZDB-GENE-050522-86,ENSDARG00000044613,D3U1E0:Q504F7:F1QFM5,C1QA,C1qa,Yes,C1QA
Matrisome-associated,ECM-affiliated Proteins,c1qb,"complement component 1, q subcomponent, B chain",ZDB-GENE-040801-223,ENSDARG00000044612,Q6DBS9:F1QH04:A8KBP2:D3U1E1,C1QB,C1qb,Yes,C1QB
Matrisome-associated,ECM-affiliated Proteins,c1qc,"complement component 1, q subcomponent, C chain",ZDB-GENE-041010-51,ENSDARG00000095627,D3U1E2:F1RAV1:Q5XJ71:A0A0B5JQA2,C1QC,C1qc,Yes,C1QC
Matrisome-associated,ECM-affiliated Proteins,c1ql1a,"complement component 1, q subcomponent-like 1a",ZDB-GENE-080424-1,-,-,C1QL1,C1ql1,Yes,C1QL1
Matrisome-associated,ECM-affiliated Proteins,c1ql1b,"complement component 1, q subcomponent-like 1b",ZDB-GENE-080424-2,-,-,C1QL1,C1ql1,Yes,C1QL1
Matrisome-associated,ECM-affiliated Proteins,c1ql2,"complement component 1, q subcomponent-like 2",ZDB-GENE-081105-160,ENSDARG00000015592,E9QE76,C1QL2,C1ql2,Yes,C1QL2
Matrisome-associated,ECM-affiliated Proteins,c1ql3a,"complement component 1, q subcomponent-like 3a",ZDB-GENE-080417-1,ENSDARG00000010350,F1Q6V1:Q7ZZ82,C1QL3,C1ql3,Yes,C1QL3
Matrisome-associated,ECM-affiliated Proteins,c1ql3b,"complement component 1, q subcomponent-like 3b",ZDB-GENE-040426-1836,ENSDARG00000036483,Q6NZU2:I3IT96,C1QL3,C1ql3,Yes,C1QL3
Matrisome-associated,ECM-affiliated Proteins,c1ql4a,"complement component 1, q subcomponent-like 4",ZDB-GENE-090313-185,ENSDARG00000011549,E9QCN9,C1QL4,C1ql4,Yes,C1QL4
Matrisome-associated,ECM-affiliated Proteins,c1ql4b,"complement component 1, q subcomponent-like 4b",ZDB-GENE-131127-59,ENSDARG00000055317,E7EZD8,C1QL4,C1ql4,Yes,C1QL4
Matrisome-associated,ECM-affiliated Proteins,c1qtnf1,C1q and tumor necrosis factor related protein 1,ZDB-GENE-050417-427,ENSDARG00000088878,Q566P1,C1QTNF1,C1qtnf1,Yes,C1QTNF1
Matrisome-associated,ECM-affiliated Proteins,c1qtnf2,C1q and tumor necrosis factor related protein 2,ZDB-GENE-030131-5133,ENSDARG00000059944,E7F6Z0:A0A0R4IN55,C1QTNF2,C1qtnf2,Yes,C1QTNF2
Matrisome-associated,ECM-affiliated Proteins,c1qtnf4,C1q and tumor necrosis factor related protein 4,ZDB-GENE-050417-198,ENSDARG00000024299,Q566Z3:F1QBL3,C1QTNF4,C1qtnf4,Yes,C1QTNF4
Matrisome-associated,ECM-affiliated Proteins,c1qtnf5,C1q and tumor necrosis factor related protein 5,ZDB-GENE-050706-101,ENSDARG00000056134,Q4KMC6,C1QTNF5,C1qtnf5,Yes,C1QTNF5
Matrisome-associated,ECM-affiliated Proteins,c1qtnf6a,C1q and tumor necrosis factor related protein 6a,ZDB-GENE-080108-3,ENSDARG00000055175,F1RBK5,C1QTNF6,C1qtnf6,Yes,C1QTNF6
Matrisome-associated,ECM-affiliated Proteins,c1qtnf6b,C1q and tumor necrosis factor related protein 6b,ZDB-GENE-080411-1,-,-,C1QTNF6,C1qtnf6,Yes,C1QTNF6
Matrisome-associated,ECM-affiliated Proteins,c1qtnf7,C1q and tumor necrosis factor related protein 7,ZDB-GENE-080414-4,ENSDARG00000074949,E7F3N3,C1QTNF7,C1qtnf7,Yes,C1QTNF7
Matrisome-associated,ECM-affiliated Proteins,c1qtnf9,C1q and tumor necrosis factor related protein 9,ZDB-GENE-080303-33,ENSDARG00000058318,B0JZP6:E7F7K2,C1QTNF9,C1qtnf9,Yes,C1QTNF9
Matrisome-associated,ECM-affiliated Proteins,cd209,CD209 molecule,ZDB-GENE-061207-22,ENSDARG00000029461,F1QW96:D6BRL6,CD209,Cd209a,Yes,CD209
Matrisome-associated,ECM-affiliated Proteins,clec11a,"C-type lectin domain family 11, member A",ZDB-GENE-130530-861,ENSDARG00000079107,A0A0R4IRD4:E7EY07,CLEC11A,Clec11a,Yes,CLEC11A
Matrisome-associated,ECM-affiliated Proteins,clec14a,"C-type lectin domain family 14, member A",ZDB-GENE-030131-5536,ENSDARG00000103533,Q535D7:Q7SXC9:A0A0R4IWK4,CLEC14A,Clec14a,Yes,CLEC14A
Matrisome-associated,ECM-affiliated Proteins,clec19a,"C-type lectin domain family 19, member A",ZDB-GENE-080917-46,ENSDARG00000037978,E7FCR6,CLEC19A,-,Yes,CLEC19A
Matrisome-associated,ECM-affiliated Proteins,clec3a,"C-type lectin domain family 3, member A",ZDB-GENE-111103-33,ENSDARG00000104788,A0A0G2KIE0,CLEC3A,Clec3a,Yes,CLEC3A
Matrisome-associated,ECM-affiliated Proteins,clec3ba,"C-type lectin domain family 3, member Ba",ZDB-GENE-110411-71,ENSDARG00000076541,E7EYJ8:F8W607,CLEC3B,Clec3b,Yes,CLEC3B
Matrisome-associated,ECM-affiliated Proteins,clec3bb,"C-type lectin domain family 3, member Bb",ZDB-GENE-111027-16,-,-,CLEC3B,Clec3b,Yes,CLEC3B
Matrisome-associated,ECM-affiliated Proteins,colec10,collectin sub-family member 10 (C-type lectin),ZDB-GENE-131127-525,ENSDARG00000104752,Q5U3G1,COLEC10,Colec10,Yes,COLEC10
Matrisome-associated,ECM-affiliated Proteins,colec11,collectin sub-family member 11,ZDB-GENE-041114-11,ENSDARG00000013266,F1RCL0:Q5U3G1,COLEC11,Colec11,Yes,COLEC11
Matrisome-associated,ECM-affiliated Proteins,colec12,collectin sub-family member 12,ZDB-GENE-030131-9807,ENSDARG00000061140,E9QFG8:A5PMY6,COLEC12,Colec12,Yes,COLEC12
Matrisome-associated,ECM-affiliated Proteins,cspg4,chondroitin sulfate proteoglycan 4,ZDB-GENE-050519-1,ENSDARG00000078227,A0A0B5JQ10:E7FCN9:A0A0B5JS46,CSPG4,Cspg4,Yes,CSPG4
Matrisome-associated,ECM-affiliated Proteins,cspg5a,chondroitin sulfate proteoglycan 5a,ZDB-GENE-080425-4,ENSDARG00000069981,A5PLG4:F8W3W2:F6PCZ4,CSPG5,Cspg5,Yes,CSPG5
Matrisome-associated,ECM-affiliated Proteins,cspg5b,chondroitin sulfate proteoglycan 5b,ZDB-GENE-060503-368,ENSDARG00000099793,A0A0R4INR6:A0A0R4IMK4:A0A0R4INA0,CSPG5,Cspg5,Yes,CSPG5
Matrisome-associated,ECM-affiliated Proteins,elfn1a,extracellular leucine-rich repeat and fibronectin type III domain containing 1a,ZDB-GENE-120927-2,ENSDARG00000078141,-,ELFN1,Elfn1,Yes,ELFN1
Matrisome-associated,ECM-affiliated Proteins,elfn1b,extracellular leucine-rich repeat and fibronectin type III domain containing 1b,ZDB-GENE-080327-21,ENSDARG00000074372,A8BBD5:F1Q7Y5,ELFN1,Elfn1,Yes,ELFN1
Matrisome-associated,ECM-affiliated Proteins,elfn2a,extracellular leucine-rich repeat and fibronectin type III domain containing 2a,ZDB-GENE-080327-26,ENSDARG00000077609,A8BBG8:B8JKN2,ELFN2,Elfn2,Yes,ELFN2
Matrisome-associated,ECM-affiliated Proteins,elfn2b,extracellular leucine-rich repeat and fibronectin type III domain containing 2b,ZDB-GENE-140106-145,ENSDARG00000077893,-,ELFN2,Elfn2,Yes,ELFN2
Matrisome-associated,ECM-affiliated Proteins,frem1a,Fras1 related extracellular matrix 1a,ZDB-GENE-081119-1,ENSDARG00000069473,D7PS89:B6IDE4:F1R4B2:A0A0R4IN91,FREM1,Frem1,Yes,FREM1
Matrisome-associated,ECM-affiliated Proteins,frem1b,Fras1 related extracellular matrix 1b,ZDB-GENE-050208-783,ENSDARG00000062402,A0A0R4IY99:B6IDE5:F1R2T2:Q1L984:D7PS90,FREM1,Frem1,Yes,FREM1
Matrisome-associated,ECM-affiliated Proteins,frem2a,Fras1 related extracellular matrix protein 2a,ZDB-GENE-081119-3,ENSDARG00000076856,A0A0R4IVT0:D7PS91:B6IDE6:A0A0R4IWG1,FREM2,Frem2,Yes,FREM2
Matrisome-associated,ECM-affiliated Proteins,frem2b,Fras1 related extracellular matrix protein 2b,ZDB-GENE-081119-4,ENSDARG00000102626,D7PS92:B6IDE7:A0A0R4IH07:D7PS93,FREM2,Frem2,Yes,FREM2
Matrisome-associated,ECM-affiliated Proteins,frem3,Fras1 related extracellular matrix 3,ZDB-GENE-030131-9788,ENSDARG00000074677,F1QE56:D7PS95:B6IDE8,FREM3,Frem3,Yes,FREM3
Matrisome-associated,ECM-affiliated Proteins,gpc1a,glypican 1a,ZDB-GENE-051120-147,ENSDARG00000019341,Q568E8:Q1LXM6:V5JE91:F1QCC6,GPC1,Gpc1,Yes,GPC1
Matrisome-associated,ECM-affiliated Proteins,gpc1b,glypican 1b,ZDB-GENE-040426-1306,ENSDARG00000090585,A0A0B5JKA7:F1QVG5:Q7T3D6,GPC1,Gpc1,Yes,GPC1
Matrisome-associated,ECM-affiliated Proteins,gpc2,glypican 2,ZDB-GENE-050302-31,ENSDARG00000104217,A2RUZ1:A0A0R4IL33:V5NF87:A0A0R4IG73,GPC2,Gpc2,Yes,GPC2
Matrisome-associated,ECM-affiliated Proteins,gpc3,glypican 3,ZDB-GENE-031212-1,ENSDARG00000032199,F1R0Q4:Q6V9Y8,GPC3,Gpc3,Yes,GPC3
Matrisome-associated,ECM-affiliated Proteins,gpc4,glypican 4,ZDB-GENE-011119-1,ENSDARG00000015472,Q90Z52:B3DJ94:F1QKN6,GPC4,Gpc4,Yes,GPC4
Matrisome-associated,ECM-affiliated Proteins,gpc5a,glypican 5a,ZDB-GENE-140106-260,ENSDARG00000103647,V5NES1:A0A0H2UKP8:V5NES1:A0A0H2UKP8,GPC5,Gpc5,Yes,GPC5
Matrisome-associated,ECM-affiliated Proteins,gpc5b,glypican 5b,ZDB-GENE-060503-64,ENSDARG00000024588,V5NF21:Q1L879:F1Q5X1,GPC5,Gpc5,Yes,GPC5
Matrisome-associated,ECM-affiliated Proteins,gpc5c,glypican 5c,ZDB-GENE-141112-1,-,V5NHA1,GPC5,Gpc5,Yes,GPC5
